Reaction ID	Reaction name	Relative objective flux change
14GLUCANabcpp	1,4-alpha-D-glucan transport via ABC system (periplasm)	0.9999999999999928
14GLUCANtexi	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	0.9999999999999928
23PDE2pp	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	0.9999999999999928
23PDE4pp	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	0.9999999999999928
23PDE7pp	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	0.9999999999999928
23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	0.9999999999999928
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	0.9999999999999928
2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	0.9999999999999928
2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	0.9999999999999928
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	0.9999999999999928
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	0.9999999999999928
2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	0.9999999999999928
2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	0.9999999999999956
2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	0.9999999999999871
2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	0.999999999999997
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	0.999999999999997
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	0.999999999999997
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	0.999999999999997
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	1.0000000000000078
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	0.999999999999997
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	0.999999999999997
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	0.999999999999997
2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	0.9999999999999923
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	1.0000000000000056
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	0.999999999999996
2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	0.9999999999999964
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	1.0000000000000056
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	1.0000000000000056
2DGULRGx	2-Dehydro-L-gulonate reductase to gluconate (NADH)	1.000000000000003
2DGULRGy	2-Dehydro-L-gulonate reductase to gluconate (NADPH)	1.000000000000001
2DGULRx	2-dehydro-L-gulonate reductase (NADH)	1.000000000000003
2DGULRy	2-dehydro-L-gulonate reductase (NADPH)	1.000000000000003
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	1.000000000000003
3AMACHYD	3-aminoacrylate hydrolase	1.000000000000003
3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	1.0012550672596325
3HAD120	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	1.0012550672596325
3HAD121	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	1.000000000000003
3HAD140	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	1.000449738358269
3HAD141	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	1.000000000000003
3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	1.000449738358269
3HAD161	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	1.000000000000003
3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	1.000000000000003
3HAD181	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	1.000000000000003
3HAD40	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	1.0001125430549782
3HAD60	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	1.0012550672596325
3HAD80	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	1.0012550672596325
3HCINNMH	3-hydroxycinnamate hydroxylase	1.000000000000003
3HPPPNH	3-(3-hydroxy-phenyl)propionate hydroxylase	1.000000000000003
3KGK	3-keto-L-gulonate kinase	1.000000000000003
3NTD2pp	3'-nucleotidase (UMP) (periplasm)	1.000000000000003
3NTD4pp	3'-nucleotidase (CMP) (periplasm)	1.000000000000003
3NTD7pp	3'-nucleotidase (AMP) (periplasm)	1.000000000000003
3NTD9pp	3'-nucleotidase (GMP) (periplasm)	1.000000000000003
3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	1.000000000000003
3OAR141	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	1.000000000000003
3OAR161	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	1.000000000000003
3OAR181	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	1.000000000000003
3OAS100	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	1.0002816099356706
3OAS120	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	1.0002816099356706
3OAS121	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)	1.000000000000003
3OAS140	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	1.0001625560253526
3OAS141	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	1.000000000000003
3OAS160	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	1.0001009745487959
3OAS161	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	1.000000000000003
3OAS180	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	1.000000000000003
3OAS181	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	1.000000000000003
3OAS60	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	1.0002816099356706
3OAS80	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	1.0002816099356706
3OXCOAT	3-oxoadipyl-CoA thiolase	1.000000000000003
3PEPTabcpp	Tripeptide (LalaDgluMdap) transport via ABC system (periplasm)	1.000000000000003
42A12BOOXpp	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	1.000000000000003
4HTHRS	4-Hydroxy-L-threonine synthase	1.000000000000003
4PCP	Tetrapeptide L,D-carboxypeptidase	1.000000000000003
4PEPTabcpp	Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm)	1.0000000000000018
5DOAN	5'-deoxyadenosine nuclosidase	1.0000001017251987
AACPS1	Acyl-[acyl-carrier-protein] synthetase (n-C14:0)	1.0008810164884387
AACPS2	Acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	0.9999999999999931
AACPS3	Acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	1.0059181589141089
AACPS4	Acyl-[acyl-carrier-protein] synthetase  (n-C16:1)	1.0002495495580377
AACPS5	Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	0.9999999999999915
AACPS6	Acyl-[acyl-carrier-protein] synthetase  (n-C18:0)	1.0000000000000002
AACPS7	Acyl-[acyl-carrier-protein] synthetase  (n-C12:0)	1.0000000000000002
AACPS8	Acyl-[acyl-carrier-protein] synthetase  (n-C10:0)	1.0000000000000002
AACPS9	Acyl-[acyl-carrier-protein] synthetase  (n-C8:0)	1.0000000000000002
